"medcodeid","term","condition"
"720311000006119","Multiple complications due to malnutrition related diabetes (disorder)","Q code group Type 2 diabetes "
"280581000006118","Multiple complications due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292576013","Multiple complications due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292577016","Multiple complications due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84541000006111","Multiple complications due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84911000006119","Multiple complications due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"7966911000006115","Neuropathic arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"7966921000006111","Neuropathic arthropathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12221111000006119","Neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"345486016","Neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"345487013","Neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"881501000006110","Neuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12725191000006116","Other specified diabetes mellitus with coma (disorder)","Q code group Type 2 diabetes "
"932641000006116","Other specified diabetes mellitus with coma (disorder)","Q code group Type 2 diabetes "
"280561000006111","Peripheral angiopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"459306016","Peripheral angiopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"459308015","Peripheral angiopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84591000006119","Peripheral angiopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84961000006116","Peripheral angiopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12485441000006119","Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616581000006115","Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"674961000006118","Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6985001000006110","Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6985011000006113","Peripheral circulatory disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12335981000006115","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12335991000006117","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704411000006113","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"13791000006111","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"292523015","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616441000006113","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6980041000006115","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"772141000006118","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"787101000006114","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913921000006119","Peripheral vascular disorder due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6959091000006114","Persistent microalbuminuria due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928561000006118","Persistent microalbuminuria due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928571000006113","Persistent microalbuminuria due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6981621000006113","Persistent proteinuria due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928541000006117","Persistent proteinuria due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"928551000006115","Persistent proteinuria due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12363731000006113","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"280541000006112","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"7708121000006119","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84601000006110","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84971000006111","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914241000006118","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914251000006116","Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12185421000006113","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12185431000006111","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"214921000006116","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616451000006110","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"771401000006115","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"82373015","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"913801000006118","Polyneuropathy due to diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"280531000006119","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"587521000006111","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"616551000006111","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6951281000006117","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84551000006113","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84611000006113","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84921000006110","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84981000006114","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914031000006118","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914041000006111","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914261000006119","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914271000006114","Renal disorder due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12336531000006116","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12336541000006114","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"12704981000006111","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"641581000006115","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6982511000006110","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"6982521000006119","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84621000006117","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"84991000006112","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914151000006112","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"914161000006114","Retinopathy due to type 2 diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"15518018","Secondary diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"189721000000113","Secondary diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"356078011","Secondary endocrine diabetes mellitus (disorder)","Q code group Type 2 diabetes "
"127041000006110","Steroid-induced diabetes (disorder)","Q code group Type 2 diabetes "
"616241000006112","Steroid-induced diabetes (disorder)","Q code group Type 2 diabetes "
"127051000006112","Steroid-induced diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"2288061000000111","Type II diabetes mellitus in remission (disorder)","Q code group Type 2 diabetes "
"2288071000000116","Type II diabetes mellitus in remission (disorder)","Q code group Type 2 diabetes "
"281171000006119","Type II diabetes mellitus uncontrolled (finding)","Q code group Type 2 diabetes "
"292589019","Type II diabetes mellitus uncontrolled (finding)","Q code group Type 2 diabetes "
"292590011","Type II diabetes mellitus uncontrolled (finding)","Q code group Type 2 diabetes "
"7281511000006118","Type II diabetes mellitus uncontrolled (finding)","Q code group Type 2 diabetes "
"84481000006116","Type II diabetes mellitus uncontrolled (finding)","Q code group Type 2 diabetes "
"84851000006110","Type II diabetes mellitus uncontrolled (finding)","Q code group Type 2 diabetes "
"12450751000006113","Type II diabetes mellitus with gangrene (disorder)","Q code group Type 2 diabetes "
"12450771000006115","Type II diabetes mellitus with gangrene (disorder)","Q code group Type 2 diabetes "
"12454141000006118","Type II diabetes mellitus with gangrene (disorder)","Q code group Type 2 diabetes "
"281181000006116","Type II diabetes mellitus with neuropathic arthropathy (disorder)","Q code group Type 2 diabetes "
"459312014","Type II diabetes mellitus with neuropathic arthropathy (disorder)","Q code group Type 2 diabetes "
"459313016","Type II diabetes mellitus with neuropathic arthropathy (disorder)","Q code group Type 2 diabetes "
"84571000006115","Type II diabetes mellitus with neuropathic arthropathy (disorder)","Q code group Type 2 diabetes "
"84941000006115","Type II diabetes mellitus with neuropathic arthropathy (disorder)","Q code group Type 2 diabetes "
"280551000006114","Type II diabetes mellitus with ulcer (disorder)","Q code group Type 2 diabetes "
"292579018","Type II diabetes mellitus with ulcer (disorder)","Q code group Type 2 diabetes "
"292581016","Type II diabetes mellitus with ulcer (disorder)","Q code group Type 2 diabetes "
"84631000006119","Type II diabetes mellitus with ulcer (disorder)","Q code group Type 2 diabetes "
"85001000006117","Type II diabetes mellitus with ulcer (disorder)","Q code group Type 2 diabetes "
"457328010","Type II diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"457329019","Type II diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"457330012","Type II diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"616511000006110","Type II diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"84641000006112","Type II diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"85011000006119","Type II diabetes mellitus without complication (disorder)","Q code group Type 2 diabetes "
"1233307015","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"1803751000006119","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"1848531000006116","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"3649791000006119","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"3649801000006118","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"3649811000006115","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"3649841000006116","Wolfram syndrome (disorder)","Q code group Type 2 diabetes "
"7854021000006118","X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome (disorder)","Q code group Type 2 diabetes "
"7854031000006115","X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome (disorder)","Q code group Type 2 diabetes "
